"age","gender","time_spent","platform","interests","location","demographics","profession","income","indebt","isHomeOwner","Owns_Car"
"53","female","9","Facebook","Lifestlye","Australia","Rural","Marketer Manager","12892","False","False","False"
"19","non-binary","5","Facebook","Travel","Australia","Rural","Marketer Manager","12063","False","False","True"
"59","female","9","Facebook","Lifestlye","United Kingdom","Sub_Urban","Software Engineer","13642","True","False","True"
"62","non-binary","5","Facebook","Sports","United States","Sub_Urban","Marketer Manager","12000","False","False","True"
"23","non-binary","2","Facebook","Sports","United States","Urban","Marketer Manager","11294","False","True","True"
"61","non-binary","7","Facebook","Lifestlye","Australia","Rural","Marketer Manager","19945","True","True","True"
"42","male","5","Facebook","Travel","Australia","Urban","Student","15073","False","True","False"
"30","male","5","Facebook","Lifestlye","United States","Rural","Student","12096","False","False","True"
"23","female","4","Facebook","Travel","Australia","Rural","Software Engineer","17169","True","False","False"
"25","non-binary","5","Facebook","Sports","United Kingdom","Urban","Student","16014","True","True","True"
"50","non-binary","4","Facebook","Sports","Australia","Rural","Software Engineer","15147","False","False","False"
"59","male","2","Facebook","Travel","Australia","Sub_Urban","Student","11356","False","True","True"
"61","non-binary","2","Facebook","Lifestlye","Australia","Rural","Software Engineer","13072","True","True","False"
"32","non-binary","4","Facebook","Travel","United States","Rural","Software Engineer","16199","False","False","False"
"29","female","8","Facebook","Sports","Australia","Sub_Urban","Software Engineer","12040","False","True","False"
"20","male","4","Facebook","Travel","United Kingdom","Urban","Software Engineer","19807","False","False","True"
"34","non-binary","4","Facebook","Lifestlye","United States","Urban","Student","12642","True","True","False"
"19","female","7","Facebook","Sports","Australia","Sub_Urban","Marketer Manager","14402","True","False","False"
"45","female","6","Facebook","Travel","United Kingdom","Rural","Software Engineer","13799","True","True","True"
"49","male","7","Facebook","Lifestlye","Australia","Rural","Marketer Manager","15491","True","True","True"
"49","non-binary","8","Facebook","Travel","Australia","Sub_Urban","Marketer Manager","12113","False","False","False"
"21","non-binary","8","Facebook","Sports","Australia","Rural","Marketer Manager","17979","True","True","False"
"23","non-binary","4","Facebook","Travel","Australia","Rural","Software Engineer","14766","False","True","False"
"28","female","9","Facebook","Travel","Australia","Sub_Urban","Marketer Manager","15192","False","False","True"
"50","male","3","Facebook","Travel","United Kingdom","Rural","Marketer Manager","16093","True","True","True"
"37","male","1","Facebook","Sports","United States","Rural","Software Engineer","10237","True","False","False"
"53","female","3","Facebook","Lifestlye","United States","Urban","Student","17226","False","True","True"
"36","non-binary","2","Facebook","Sports","Australia","Sub_Urban","Marketer Manager","18032","True","False","True"
"43","non-binary","1","Facebook","Lifestlye","United Kingdom","Urban","Software Engineer","15218","True","True","True"
"57","non-binary","9","Facebook","Travel","United Kingdom","Urban","Software Engineer","15507","True","False","False"
"57","male","2","Facebook","Travel","United Kingdom","Urban","Marketer Manager","15510","True","False","False"
"45","non-binary","5","Facebook","Lifestlye","United States","Rural","Software Engineer","15131","True","True","True"
"43","female","3","Facebook","Lifestlye","Australia","Sub_Urban","Software Engineer","19873","True","False","False"
"19","non-binary","4","Facebook","Lifestlye","United Kingdom","Urban","Marketer Manager","19244","False","True","True"
"26","non-binary","1","Facebook","Lifestlye","United Kingdom","Urban","Student","10681","False","True","True"
"33","female","8","Facebook","Travel","Australia","Sub_Urban","Marketer Manager","17339","True","True","False"
"37","non-binary","6","Facebook","Sports","Australia","Rural","Marketer Manager","10074","True","True","True"
"41","male","9","Facebook","Travel","United States","Sub_Urban","Software Engineer","19485","False","True","True"
"53","female","5","Facebook","Sports","United Kingdom","Rural","Marketer Manager","19747","True","False","False"
"57","female","8","Facebook","Lifestlye","United Kingdom","Rural","Software Engineer","14207","False","True","True"
"42","male","6","Facebook","Lifestlye","Australia","Sub_Urban","Marketer Manager","19307","True","False","False"
"35","non-binary","6","Facebook","Travel","United States","Sub_Urban","Marketer Manager","13876","False","False","True"
"63","non-binary","6","Facebook","Lifestlye","United Kingdom","Sub_Urban","Software Engineer","14615","True","True","False"
"52","female","2","Facebook","Travel","United Kingdom","Urban","Student","19118","False","False","True"
"58","male","1","Facebook","Travel","United Kingdom","Urban","Student","16792","False","True","True"
"53","non-binary","3","Facebook","Sports","United States","Urban","Marketer Manager","19247","False","False","False"
"38","male","6","Facebook","Lifestlye","United Kingdom","Sub_Urban","Marketer Manager","12251","False","True","False"
"37","female","4","Facebook","Sports","United States","Sub_Urban","Software Engineer","19244","False","False","True"
"24","male","9","Facebook","Lifestlye","United Kingdom","Urban","Marketer Manager","12744","True","True","False"
"50","non-binary","7","Facebook","Sports","United Kingdom","Rural","Student","11560","True","True","False"
"63","non-binary","3","Facebook","Travel","United Kingdom","Rural","Marketer Manager","10470","True","False","True"
"47","non-binary","7","Facebook","Travel","United States","Urban","Student","19608","False","False","False"
"51","female","8","Facebook","Lifestlye","Australia","Sub_Urban","Marketer Manager","18012","True","False","False"
"50","female","5","Facebook","Lifestlye","Australia","Sub_Urban","Software Engineer","11129","True","True","False"
"21","female","7","Facebook","Sports","Australia","Rural","Marketer Manager","17329","False","False","False"
"34","male","5","Facebook","Travel","United Kingdom","Rural","Marketer Manager","19669","True","True","False"
"23","female","7","Facebook","Travel","United States","Urban","Student","12073","False","False","False"
"52","male","2","Facebook","Travel","United Kingdom","Rural","Software Engineer","10312","True","True","True"
"41","male","5","Facebook","Sports","Australia","Sub_Urban","Marketer Manager","10810","True","True","False"
"48","non-binary","9","Facebook","Lifestlye","United States","Sub_Urban","Student","19699","False","False","True"
"20","male","5","Facebook","Lifestlye","United Kingdom","Urban","Marketer Manager","10490","True","False","False"
"39","male","8","Facebook","Travel","United Kingdom","Sub_Urban","Software Engineer","19825","True","True","False"
"40","male","6","Facebook","Lifestlye","United Kingdom","Urban","Software Engineer","14920","True","True","True"
"44","female","7","Facebook","Travel","United States","Urban","Marketer Manager","19544","True","False","True"
"60","non-binary","2","Facebook","Lifestlye","Australia","Rural","Marketer Manager","16870","True","True","False"
"52","male","9","Facebook","Lifestlye","United States","Rural","Marketer Manager","18113","False","True","False"
"41","non-binary","1","Facebook","Lifestlye","United States","Urban","Software Engineer","17867","False","False","True"
"53","male","6","Facebook","Sports","Australia","Rural","Student","18146","True","False","True"
"37","male","3","Facebook","Sports","United Kingdom","Rural","Student","18558","True","False","True"
"29","non-binary","2","Facebook","Sports","United Kingdom","Sub_Urban","Student","16875","False","True","False"
"40","male","8","Facebook","Travel","Australia","Rural","Software Engineer","17856","True","False","False"
"32","non-binary","5","Facebook","Sports","United States","Sub_Urban","Software Engineer","15401","True","True","False"
"49","male","4","Facebook","Sports","United States","Urban","Software Engineer","11770","False","False","True"
"40","male","4","Facebook","Travel","United Kingdom","Urban","Software Engineer","19969","True","False","True"
"39","male","2","Facebook","Lifestlye","United States","Rural","Marketer Manager","16694","False","True","True"
"39","non-binary","7","Facebook","Lifestlye","United Kingdom","Urban","Student","12976","False","True","False"
"32","female","5","Facebook","Travel","United States","Urban","Student","10752","True","False","False"
"22","male","9","Facebook","Travel","Australia","Urban","Student","15544","True","True","True"
"62","non-binary","3","Facebook","Sports","United States","Sub_Urban","Student","14541","False","False","False"
"47","male","9","Facebook","Lifestlye","Australia","Sub_Urban","Software Engineer","16213","False","True","False"
"29","female","5","Facebook","Sports","Australia","Urban","Software Engineer","13766","False","False","False"
"42","male","5","Facebook","Lifestlye","United Kingdom","Urban","Student","17064","False","True","False"
"33","female","2","Facebook","Lifestlye","Australia","Rural","Marketer Manager","14898","True","True","False"
"56","non-binary","5","Facebook","Sports","Australia","Sub_Urban","Software Engineer","12178","True","True","False"
"39","non-binary","6","Facebook","Lifestlye","Australia","Sub_Urban","Marketer Manager","18895","False","True","True"
"29","male","8","Facebook","Sports","United States","Rural","Marketer Manager","12370","True","True","False"
"43","male","7","Facebook","Sports","Australia","Rural","Student","13281","False","False","False"
"33","female","5","Facebook","Sports","Australia","Urban","Marketer Manager","14710","False","True","True"
"54","male","1","Facebook","Lifestlye","Australia","Sub_Urban","Marketer Manager","10328","False","False","True"
"46","male","2","Facebook","Sports","United States","Urban","Software Engineer","14228","True","False","True"
"22","non-binary","2","Facebook","Travel","Australia","Rural","Software Engineer","16749","True","True","True"
"47","male","4","Facebook","Sports","United Kingdom","Sub_Urban","Marketer Manager","14224","True","False","True"
"33","female","5","Facebook","Travel","United Kingdom","Urban","Marketer Manager","16865","False","True","False"
"43","female","4","Facebook","Travel","United Kingdom","Urban","Student","15643","False","False","True"
"56","male","4","Facebook","Sports","Australia","Urban","Student","11316","True","True","False"
"22","female","9","Facebook","Sports","United States","Rural","Marketer Manager","13735","True","False","False"
"41","male","2","Facebook","Sports","Australia","Urban","Student","17961","False","False","False"
"33","non-binary","8","Facebook","Lifestlye","Australia","Sub_Urban","Software Engineer","19756","False","True","True"
"19","male","5","Facebook","Travel","Australia","Urban","Student","19410","True","True","True"
"45","non-binary","7","Facebook","Sports","United Kingdom","Rural","Marketer Manager","14601","True","False","False"
"44","non-binary","8","Facebook","Lifestlye","United States","Urban","Marketer Manager","11460","True","True","True"
"52","non-binary","1","Facebook","Travel","United Kingdom","Rural","Software Engineer","11428","True","True","False"
"60","non-binary","3","Facebook","Sports","United States","Sub_Urban","Marketer Manager","14474","False","False","True"
"50","male","8","Facebook","Sports","Australia","Sub_Urban","Student","11040","True","True","False"
"57","female","8","Facebook","Travel","United Kingdom","Urban","Marketer Manager","12686","True","True","True"
"61","male","1","Facebook","Travel","United States","Rural","Student","10075","False","True","True"
"46","female","3","Facebook","Travel","United Kingdom","Rural","Student","14326","True","False","True"
"30","non-binary","8","Facebook","Sports","United Kingdom","Sub_Urban","Marketer Manager","15835","False","True","True"
"29","male","3","Facebook","Travel","United Kingdom","Urban","Marketer Manager","15057","False","True","False"
"48","non-binary","8","Facebook","Sports","United States","Sub_Urban","Marketer Manager","12349","False","True","False"
"63","female","1","Facebook","Travel","United Kingdom","Urban","Student","12773","True","True","True"
"34","non-binary","8","Facebook","Travel","United Kingdom","Urban","Marketer Manager","11108","False","False","True"
"43","male","7","Facebook","Lifestlye","United States","Urban","Student","15057","False","False","False"
"27","male","3","Facebook","Travel","United States","Sub_Urban","Software Engineer","13998","False","True","False"
"58","male","5","Facebook","Lifestlye","Australia","Sub_Urban","Marketer Manager","13677","True","True","True"
"38","female","9","Facebook","Travel","United States","Sub_Urban","Student","18808","False","False","True"
"35","female","9","Facebook","Sports","United Kingdom","Rural","Student","17422","True","True","True"
"49","female","8","Facebook","Travel","United Kingdom","Urban","Marketer Manager","19848","True","True","True"
"54","male","2","Facebook","Sports","Australia","Sub_Urban","Software Engineer","12975","False","True","True"
"29","male","6","Facebook","Sports","United States","Rural","Marketer Manager","19241","False","True","False"
"30","non-binary","5","Facebook","Travel","Australia","Sub_Urban","Marketer Manager","10453","False","False","False"
"40","male","2","Facebook","Travel","United Kingdom","Rural","Software Engineer","19896","False","True","True"
"42","female","1","Facebook","Lifestlye","United States","Sub_Urban","Marketer Manager","18184","True","True","True"
"52","female","8","Facebook","Sports","United Kingdom","Rural","Student","15442","True","True","False"
"58","male","2","Facebook","Travel","United States","Sub_Urban","Software Engineer","10818","True","True","True"
"37","male","9","Facebook","Sports","United States","Rural","Student","17727","True","False","False"
"42","male","8","Facebook","Lifestlye","Australia","Sub_Urban","Student","10920","False","False","True"
"29","female","4","Facebook","Sports","United States","Rural","Student","12017","False","False","True"
"29","female","1","Facebook","Sports","United Kingdom","Sub_Urban","Software Engineer","14792","False","False","True"
"26","female","8","Facebook","Lifestlye","United States","Urban","Student","16830","True","True","True"
"24","male","5","Facebook","Sports","United Kingdom","Rural","Software Engineer","12434","True","True","False"
"45","male","3","Facebook","Sports","United States","Urban","Marketer Manager","12868","False","True","False"
"42","non-binary","8","Facebook","Sports","United Kingdom","Sub_Urban","Student","17027","False","False","False"
"53","male","7","Facebook","Travel","Australia","Urban","Student","16860","False","True","True"
"40","male","6","Facebook","Sports","United States","Urban","Software Engineer","18044","False","False","True"
"33","male","6","Facebook","Lifestlye","United States","Rural","Software Engineer","18169","True","True","False"
"56","non-binary","9","Facebook","Sports","United Kingdom","Sub_Urban","Student","18742","False","True","False"
"56","non-binary","2","Facebook","Lifestlye","United Kingdom","Rural","Software Engineer","10727","False","False","True"
"48","non-binary","4","Facebook","Sports","Australia","Urban","Marketer Manager","13243","True","True","True"
"27","non-binary","3","Facebook","Sports","United States","Rural","Student","15424","True","True","True"
"61","male","7","Facebook","Lifestlye","United Kingdom","Sub_Urban","Software Engineer","14241","True","False","False"
"57","female","1","Facebook","Sports","Australia","Sub_Urban","Marketer Manager","16617","False","False","False"
"19","non-binary","4","Facebook","Sports","Australia","Rural","Software Engineer","17956","False","True","True"
"46","male","3","Facebook","Lifestlye","United Kingdom","Sub_Urban","Marketer Manager","12233","False","True","False"
"18","male","9","Facebook","Sports","United States","Rural","Student","16732","False","False","False"
"44","non-binary","7","Facebook","Travel","Australia","Urban","Marketer Manager","18804","False","True","True"
"62","male","4","Facebook","Lifestlye","United States","Rural","Marketer Manager","10858","True","True","False"
"37","female","6","Facebook","Lifestlye","United States","Rural","Student","18636","True","True","False"
"18","male","6","Facebook","Lifestlye","United States","Rural","Software Engineer","19487","False","True","True"
"20","male","8","Facebook","Lifestlye","Australia","Rural","Software Engineer","17906","True","True","False"
"23","non-binary","4","Facebook","Lifestlye","Australia","Urban","Software Engineer","16952","False","True","False"
"62","non-binary","4","Facebook","Travel","United States","Urban","Software Engineer","11672","False","True","True"
"33","female","5","Facebook","Sports","Australia","Urban","Software Engineer","16085","False","True","True"
"28","male","4","Facebook","Travel","Australia","Urban","Software Engineer","14864","False","True","True"
"54","female","4","Facebook","Sports","United States","Rural","Student","19316","False","False","True"
"64","male","3","Facebook","Sports","United States","Urban","Student","13782","False","False","True"
"32","male","6","Facebook","Lifestlye","Australia","Rural","Software Engineer","12681","False","False","True"
"18","male","6","Facebook","Sports","United Kingdom","Rural","Student","17482","True","False","True"
"33","female","4","Facebook","Sports","United States","Sub_Urban","Student","17964","False","False","True"
"40","non-binary","3","Facebook","Lifestlye","United Kingdom","Sub_Urban","Software Engineer","12665","True","False","True"
"29","male","1","Facebook","Travel","United Kingdom","Sub_Urban","Student","13949","False","True","False"
"41","non-binary","9","Facebook","Sports","United Kingdom","Rural","Student","16033","True","True","False"
"45","non-binary","6","Facebook","Lifestlye","United States","Rural","Student","18328","True","True","False"
"43","male","4","Facebook","Travel","Australia","Urban","Marketer Manager","15959","True","True","True"
"25","male","4","Facebook","Travel","Australia","Urban","Student","19107","False","False","True"
"54","non-binary","9","Facebook","Travel","United Kingdom","Sub_Urban","Student","12907","False","True","True"
"58","non-binary","5","Facebook","Travel","Australia","Urban","Student","12914","False","False","False"
"53","female","9","Facebook","Travel","Australia","Urban","Marketer Manager","13870","False","True","False"
"34","male","2","Facebook","Sports","United States","Sub_Urban","Marketer Manager","15085","False","False","False"
"26","non-binary","3","Facebook","Sports","United Kingdom","Sub_Urban","Student","16546","True","False","False"
"46","non-binary","3","Facebook","Sports","Australia","Sub_Urban","Software Engineer","14636","False","True","False"
"63","female","3","Facebook","Travel","United Kingdom","Sub_Urban","Student","13690","True","True","False"
"22","female","5","Facebook","Lifestlye","United States","Rural","Software Engineer","18405","False","True","True"
"64","non-binary","4","Facebook","Lifestlye","United Kingdom","Urban","Marketer Manager","13237","True","True","False"
"42","non-binary","1","Facebook","Sports","United States","Urban","Software Engineer","13862","True","True","False"
"22","male","4","Facebook","Travel","United Kingdom","Sub_Urban","Student","18314","True","True","False"
"18","female","7","Facebook","Travel","Australia","Urban","Software Engineer","19354","True","False","True"
"49","female","3","Facebook","Sports","United States","Urban","Marketer Manager","12486","False","False","False"
"38","male","9","Facebook","Sports","Australia","Urban","Marketer Manager","16261","False","False","True"
"42","non-binary","6","Facebook","Lifestlye","Australia","Urban","Marketer Manager","19096","True","True","True"
"44","male","6","Facebook","Lifestlye","United Kingdom","Rural","Student","19918","False","False","True"
"18","female","5","Facebook","Sports","United Kingdom","Urban","Student","19230","True","True","True"
"45","non-binary","7","Facebook","Sports","Australia","Sub_Urban","Marketer Manager","11109","False","True","False"
"34","male","5","Facebook","Sports","Australia","Urban","Marketer Manager","17111","False","False","False"
"62","female","2","Facebook","Travel","United Kingdom","Urban","Marketer Manager","12765","True","False","True"
"30","non-binary","8","Facebook","Sports","United Kingdom","Rural","Student","14491","True","False","False"
"49","male","5","Facebook","Sports","United Kingdom","Sub_Urban","Marketer Manager","10769","True","False","True"
"51","non-binary","8","Facebook","Travel","Australia","Rural","Marketer Manager","11422","False","False","False"
"56","female","2","Facebook","Travel","Australia","Sub_Urban","Student","15599","True","True","True"
"20","non-binary","7","Facebook","Sports","United States","Rural","Student","14749","True","False","True"
"22","female","3","Facebook","Travel","United Kingdom","Urban","Software Engineer","19631","False","True","True"
"47","female","9","Facebook","Lifestlye","United Kingdom","Sub_Urban","Student","17450","True","False","True"
"64","male","9","Facebook","Travel","United States","Rural","Student","13959","True","False","False"
"32","non-binary","1","Facebook","Travel","United Kingdom","Urban","Software Engineer","17847","True","False","True"
"44","non-binary","6","Facebook","Sports","Australia","Urban","Student","16854","True","False","False"
"51","non-binary","1","Facebook","Sports","Australia","Urban","Software Engineer","17637","False","True","True"
"47","non-binary","2","Facebook","Sports","United Kingdom","Sub_Urban","Marketer Manager","12513","True","False","True"
"59","male","1","Facebook","Lifestlye","United States","Urban","Software Engineer","13803","False","True","True"
"34","non-binary","5","Facebook","Travel","United Kingdom","Rural","Marketer Manager","12327","True","False","True"
"46","non-binary","2","Facebook","Travel","United Kingdom","Rural","Marketer Manager","12165","False","True","False"
"27","non-binary","2","Facebook","Travel","United Kingdom","Sub_Urban","Marketer Manager","17642","True","False","True"
"37","female","7","Facebook","Lifestlye","Australia","Sub_Urban","Marketer Manager","10992","False","True","True"
"41","female","6","Facebook","Travel","United Kingdom","Rural","Marketer Manager","15424","False","False","True"
"51","female","8","Facebook","Sports","United Kingdom","Sub_Urban","Student","14381","True","False","False"
"30","male","3","Facebook","Lifestlye","United Kingdom","Sub_Urban","Student","19497","False","False","True"
"60","female","7","Facebook","Lifestlye","United States","Sub_Urban","Student","17460","False","True","False"
"64","non-binary","4","Facebook","Sports","United States","Sub_Urban","Student","12983","False","False","False"
"40","female","4","Facebook","Sports","United States","Urban","Student","17259","True","False","True"
"33","male","4","Facebook","Sports","Australia","Sub_Urban","Marketer Manager","16054","False","False","True"
"48","male","6","Facebook","Travel","United States","Rural","Marketer Manager","12523","False","True","False"
"28","male","8","Facebook","Lifestlye","United Kingdom","Urban","Marketer Manager","19677","False","False","True"
"33","male","8","Facebook","Sports","United Kingdom","Urban","Marketer Manager","14581","True","True","True"
"25","non-binary","5","Facebook","Sports","United Kingdom","Sub_Urban","Software Engineer","15609","True","False","True"
"21","non-binary","6","Facebook","Sports","United States","Sub_Urban","Marketer Manager","12001","True","True","False"
"57","female","4","Facebook","Lifestlye","United Kingdom","Urban","Student","11387","False","True","True"
"20","non-binary","1","Facebook","Travel","United Kingdom","Sub_Urban","Student","19957","True","True","False"
"20","male","9","Facebook","Sports","United Kingdom","Rural","Marketer Manager","16035","True","True","False"
"44","female","8","Facebook","Lifestlye","United States","Sub_Urban","Marketer Manager","19810","True","False","False"
"59","male","4","Facebook","Sports","United Kingdom","Rural","Student","16598","False","False","False"
"23","female","2","Facebook","Sports","Australia","Rural","Software Engineer","15993","False","False","False"
"29","female","8","Facebook","Travel","United States","Sub_Urban","Marketer Manager","19330","True","False","True"
"43","male","8","Facebook","Sports","United States","Sub_Urban","Marketer Manager","10209","False","True","True"
"62","male","5","Facebook","Lifestlye","United Kingdom","Urban","Software Engineer","10792","False","False","True"
"64","female","8","Facebook","Lifestlye","Australia","Sub_Urban","Software Engineer","19551","True","True","True"
"39","female","2","Facebook","Lifestlye","United Kingdom","Urban","Student","15193","False","False","False"
"64","non-binary","4","Facebook","Travel","United States","Rural","Software Engineer","11214","True","False","True"
"47","non-binary","6","Facebook","Travel","Australia","Sub_Urban","Marketer Manager","14419","True","False","True"
"60","female","2","Facebook","Lifestlye","United Kingdom","Sub_Urban","Student","17314","False","True","False"
"25","female","8","Facebook","Sports","Australia","Sub_Urban","Marketer Manager","19609","True","True","False"
"31","male","8","Facebook","Travel","Australia","Sub_Urban","Marketer Manager","18296","False","True","True"
"43","male","5","Facebook","Travel","Australia","Rural","Marketer Manager","15578","True","False","False"
"31","non-binary","6","Facebook","Sports","Australia","Urban","Marketer Manager","16906","False","True","False"
"41","female","6","Facebook","Lifestlye","United States","Sub_Urban","Software Engineer","10378","True","True","True"
"62","male","9","Facebook","Lifestlye","Australia","Sub_Urban","Student","13329","True","False","False"
"40","male","2","Facebook","Sports","United Kingdom","Urban","Marketer Manager","10711","False","True","False"
"63","male","4","Facebook","Travel","Australia","Urban","Student","15988","False","False","False"
"64","female","7","Facebook","Travel","Australia","Urban","Marketer Manager","17173","True","True","True"
"55","female","3","Facebook","Lifestlye","United States","Urban","Student","17271","True","False","True"
"32","non-binary","4","Facebook","Lifestlye","United Kingdom","Urban","Student","13551","False","True","True"
"27","female","5","Facebook","Travel","United Kingdom","Sub_Urban","Student","11823","False","True","True"
"56","female","3","Facebook","Lifestlye","United Kingdom","Rural","Student","16852","False","False","True"
"39","non-binary","6","Facebook","Sports","Australia","Rural","Software Engineer","16519","True","True","True"
"21","non-binary","8","Facebook","Travel","United Kingdom","Urban","Software Engineer","18893","True","False","True"
"20","male","6","Facebook","Lifestlye","United States","Sub_Urban","Student","12989","True","False","False"
"35","non-binary","8","Facebook","Travel","Australia","Sub_Urban","Student","19493","False","False","False"
"61","non-binary","9","Facebook","Lifestlye","United States","Urban","Student","12869","False","False","True"
"43","female","1","Facebook","Sports","United States","Rural","Software Engineer","11918","True","False","True"
"51","non-binary","4","Facebook","Lifestlye","Australia","Sub_Urban","Student","16416","False","True","False"
"23","non-binary","2","Facebook","Sports","United States","Urban","Marketer Manager","13758","False","False","False"
"23","female","6","Facebook","Lifestlye","Australia","Urban","Software Engineer","17280","False","True","False"
"21","non-binary","4","Facebook","Lifestlye","Australia","Rural","Student","15324","False","False","True"
"28","male","8","Facebook","Sports","Australia","Sub_Urban","Software Engineer","11721","False","False","True"
"47","male","7","Facebook","Travel","United States","Urban","Student","15316","True","False","True"
"26","non-binary","4","Facebook","Sports","United States","Rural","Marketer Manager","10064","True","True","False"
"41","male","5","Facebook","Sports","United Kingdom","Rural","Software Engineer","18424","True","False","False"
"19","female","4","Facebook","Lifestlye","United Kingdom","Rural","Software Engineer","13083","False","False","True"
"37","female","1","Facebook","Travel","United Kingdom","Sub_Urban","Software Engineer","18073","False","False","True"
"32","non-binary","2","Facebook","Lifestlye","Australia","Urban","Software Engineer","16528","True","False","False"
"43","non-binary","4","Facebook","Travel","Australia","Sub_Urban","Student","13306","True","False","False"
"37","male","8","Facebook","Travel","United Kingdom","Rural","Software Engineer","10021","True","False","True"
"37","female","6","Facebook","Sports","Australia","Urban","Marketer Manager","19034","True","False","False"
"64","male","6","Facebook","Sports","United Kingdom","Urban","Marketer Manager","13641","True","False","True"
"28","female","9","Facebook","Travel","Australia","Sub_Urban","Software Engineer","14662","False","True","True"
"53","male","4","Facebook","Lifestlye","United Kingdom","Sub_Urban","Student","14326","True","False","False"
"20","non-binary","7","Facebook","Travel","Australia","Sub_Urban","Software Engineer","18281","False","False","True"
